Problem;BestResult;Best; Age; Age + best
A38;1530;2209;2147;2221;2170
A43;5620;5696;5693;5692;5696
A44;1613;2585;2598;2587;2637
A47;1776;2846;2876;2882;2882
A48;14422;20257;20157;20337;20636
A53;6905;10457;10638;10564;10428
A55;1608;2904;2928;2969;2953
A64;1839;3655;3759;3684;3706
A70;38673;46791;46988;46504;47277
A124;36230;84547;84156;84708;82206
S41;1317;1970;1946;1991;1983
S46;1982;2776;2776;2787;2780
S54;1411;2258;2309;2243;2234
S64;1672;2869;2868;2830;2934
S80;1156;2684;2634;2652;2622
S88;2822;5883;5960;5997;6245
S104;2109;4981;5067;4976;4986
S113;2059;6752;6622;6358;6452
S114;2818;7988;8217;8066;8069
S116;3648;8682;9087;8897;8721
