file;K-Random-100;K-Random-2n;NearestNeighbour;NearestNeighbour2;2-OPT
S198;494500;1558000;70200;18142800;11555700
S657;2950600;26364100;1116400;563826500;1174111900
S1291;6175800;113280600;2976700;3963368200;6824633500
A53;121600;119400;21900;419400;13961700
A35;86300;61700;18100;180800;3245100
S100;204200;397000;31200;2573400;4108700
S299;703900;3622500;177000;47216300;41185300
A323;754400;4402400;162000;53593200;18641880500
A443;1265000;8651900;287700;155106400;59665172000
A48;109500;93200;18200;373300;24333500
